,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
111,Luol Deng,CHI,20,61,36,25,27.2,11.7,4.6,10.6,43.4,0.5,1.9,26.5,2,2.7,74.1,1.5,3.8,5.3,2.2,1.9,0.8,0.4,1.6,23.1,3,0,2.6
112,Damon Jones,MIA,28,82,59,23,31.4,11.6,4,8.9,45.6,2.7,6.4,43.2,0.8,1,79.1,0.2,2.6,2.8,4.3,1.2,0.5,0.1,1.5,22,0,0,5.5
113,Ruben Patterson,POR,29,70,26,44,28.1,11.6,4.6,8.6,53.1,0,0.4,8,2.4,4,59.9,1.8,2.1,3.9,2,2,1.5,0.3,2.3,22.6,0,0,-1.5
114,Donyell Marshall,TOR,32,65,27,38,25.5,11.5,4,9.1,44.3,2.3,5.6,41.6,1.1,1.4,79.1,1.5,5.1,6.6,1.2,0.6,0.9,0.7,2.1,25.4,13,0,0.6
115,Kyle Korver,PHI,24,82,43,39,32.5,11.5,3.9,9.3,41.8,2.8,6.8,40.5,1,1.2,85.4,0.5,4.1,4.6,2.2,1.3,1.3,0.4,3.2,24,4,0,0.5
116,Speedy Claxton,NOH,27,62,22,40,30.2,11.5,4.1,9.9,42.1,0.2,1,18,3,4.1,73.6,0.6,2.4,3,6,1.9,1.8,0.1,3,27.8,8,0,-3.2
117,Kurt Thomas,NYK,32,80,31,49,35.7,11.5,5.3,11.3,47.1,0,0.1,50,0.8,1.1,78.6,2.1,8.3,10.4,2,1.2,0.9,1,3.9,31.3,32,0,-1.8
118,Gary Payton,BOS,36,77,41,36,33.1,11.3,4.4,9.4,46.8,0.5,1.7,32.6,2,2.6,76.1,0.6,2.4,3.1,6.1,1.9,1.1,0.2,1.6,26.1,7,0,0.7
119,Tyronn Lue,ATL,28,70,16,54,28.7,11.2,4.2,9.3,45.1,0.8,2.2,35.5,2,2.4,86.1,0.2,1.9,2.1,4.6,1.5,0.5,0,2.4,20.6,4,0,-6.5
120,Antonio Daniels,SEA,30,75,50,25,27,11.2,3.6,8.3,43.8,0.7,2.2,29.7,3.3,4.1,81.6,0.3,2,2.3,4.1,1,0.7,0,1,21.2,1,0,2.7
121,Keith Van Horn,DAL,29,62,35,27,24.2,11.2,4.1,9.1,45.6,0.9,2.3,38,2.1,2.5,81.5,1.4,3.3,4.7,1.2,1.3,0.6,0.3,2.7,20.2,5,0,1.3
122,Gerald Wallace,CHA,22,70,16,54,30.7,11.1,4.1,9.1,44.9,0.2,0.9,27.4,2.7,4.1,66.1,1.7,3.8,5.5,2,2.3,1.7,1.3,2.6,27.3,7,0,-2.6
123,Nick Van Exel,POR,33,53,20,33,30.5,11.1,4,10.6,38.1,1.9,4.8,38.9,1.1,1.4,78.4,0.4,2.7,3,4.3,1.7,0.8,0,1.3,21.9,1,0,-1.4
124,Raef LaFrentz,BOS,29,80,44,36,27.5,11.1,4.3,8.6,49.6,1,2.8,36.4,1.5,1.9,81.1,1.9,5,6.9,1.2,0.9,0.5,1.2,3.3,25.6,11,0,1.4
125,Joe Smith,MIL,29,74,28,46,30.7,11,4.3,8.4,51.4,0,0,0,2.4,3.1,76.8,2.4,4.9,7.3,0.9,1.1,0.6,0.5,3,23.3,14,0,-1
